antecedent,consequent,support,confidence,lift
bu=48.1 - 86.2 AND sg=1.009 - 1.011,class=ckd,0.1,1.0,1.5625
bu=< 48.1 AND htn=1,class=ckd,0.1,1.0,1.5625
cad=0 AND pcc=1,class=ckd,0.1,1.0,1.5625
cad=0 AND rbc=1,class=ckd,0.1,1.0,1.5625
dm=0 AND pc=1,class=ckd,0.1,1.0,1.5625
dm=1 AND hemo=11.3 - 12.6,class=ckd,0.1,1.0,1.5625
hemo=10 - 11.3 AND htn=1,class=ckd,0.1,1.0,1.5625
hemo=8.7 - 10 AND su=< 0,class=ckd,0.1,1.0,1.5625
pc=0 AND pcv=33.5 - 37.4,class=ckd,0.1,1.0,1.5625
pcc=0 AND pcv=33.5 - 37.4,class=ckd,0.1,1.0,1.5625
pcc=1 AND pe=0,class=ckd,0.1,1.0,1.5625
pcv=33.5 - 37.4 AND rbc=0,class=ckd,0.1,1.0,1.5625
age=66 - 74 AND htn=1,class=ckd,0.095,1.0,1.5625
al=1 - 1 AND pcc=0,class=ckd,0.095,1.0,1.5625
al=2 - 2 AND pc=1,class=ckd,0.095,1.0,1.5625
al=2 - 2 AND su=< 0,class=ckd,0.095,1.0,1.5625
ane=0 AND pcv=29.6 - 33.5,class=ckd,0.095,1.0,1.5625
ane=1 AND bp limit=2,class=ckd,0.095,1.0,1.5625
ane=1 AND dm=1,class=ckd,0.095,1.0,1.5625
ane=1 AND pc=1,class=ckd,0.095,1.0,1.5625
ba=0 AND cad=1,class=ckd,0.095,1.0,1.5625
ba=0 AND pcv=29.6 - 33.5,class=ckd,0.095,1.0,1.5625
cad=1 AND htn=1,class=ckd,0.095,1.0,1.5625
dm=1 AND sg=1.015 - 1.017,class=ckd,0.095,1.0,1.5625
hemo=11.3 - 12.6 AND htn=1,class=ckd,0.095,1.0,1.5625
htn=1 AND sc=3.65 - 6.8,class=ckd,0.095,1.0,1.5625
pc=1 AND pe=1,class=ckd,0.095,1.0,1.5625
pcc=1 AND su=< 0,class=ckd,0.095,1.0,1.5625
pcv=33.5 - 37.4 AND sc=< 3.65,class=ckd,0.095,1.0,1.5625
pcv=33.5 - 37.4 AND su=< 0,class=ckd,0.095,1.0,1.5625
rbc=1 AND su=< 0,class=ckd,0.095,1.0,1.5625
pcv=25.7 - 29.6,class=ckd,0.09,1.0,1.5625
age=66 - 74 AND dm=1,class=ckd,0.09,1.0,1.5625
al=1 - 1 AND ane=0,class=ckd,0.09,1.0,1.5625
al=2 - 2 AND bp (Diastolic)=1,class=ckd,0.09,1.0,1.5625
al=3 - 3 AND ane=0,class=ckd,0.09,1.0,1.5625
ane=1 AND appet=0,class=ckd,0.09,1.0,1.5625
ane=1 AND pe=0,class=ckd,0.09,1.0,1.5625
appet=0 AND hemo=10 - 11.3,class=ckd,0.09,1.0,1.5625
appet=1 AND bp limit=2,class=ckd,0.09,1.0,1.5625
appet=1 AND pc=0,class=ckd,0.09,1.0,1.5625
appet=1 AND rbcc=4.46 - 5.05,class=ckd,0.09,1.0,1.5625
ba=0 AND rbcc=3.28 - 3.87,class=ckd,0.09,1.0,1.5625
bp (Diastolic)=1 AND pe=1,class=ckd,0.09,1.0,1.5625
cad=0 AND hemo=8.7 - 10,class=ckd,0.09,1.0,1.5625
hemo=8.7 - 10 AND rbc=0,class=ckd,0.09,1.0,1.5625
htn=1 AND pcc=1,class=ckd,0.09,1.0,1.5625
htn=1 AND rbc=1,class=ckd,0.09,1.0,1.5625
htn=1 AND rbcc=3.28 - 3.87,class=ckd,0.09,1.0,1.5625
pc=1 AND rbcc=4.46 - 5.05,class=ckd,0.09,1.0,1.5625
pc=1 AND wbcc=7360 - 9740,class=ckd,0.09,1.0,1.5625
pcc=0 AND sc=3.65 - 6.8,class=ckd,0.09,1.0,1.5625
pcc=1 AND sc=< 3.65,class=ckd,0.09,1.0,1.5625
pcv=25.7 - 29.6 AND pot=< 7.31,class=ckd,0.09,1.0,1.5625
pcv=29.6 - 33.5 AND rbc=0,class=ckd,0.09,1.0,1.5625
pcv=29.6 - 33.5 AND su=< 0,class=ckd,0.09,1.0,1.5625
pcv=33.5 - 37.4 AND pe=0,class=ckd,0.09,1.0,1.5625
sc=3.65 - 6.8 AND su=< 0,class=ckd,0.09,1.0,1.5625
al=1 - 1 AND cad=0,class=ckd,0.085,1.0,1.5625
al=1 - 1 AND sc=< 3.65,class=ckd,0.085,1.0,1.5625
al=2 - 2 AND ane=0,class=ckd,0.085,1.0,1.5625
al=2 - 2 AND rbc=0,class=ckd,0.085,1.0,1.5625
al=3 - 3 AND cad=0,class=ckd,0.085,1.0,1.5625
al=3 - 3 AND htn=1,class=ckd,0.085,1.0,1.5625
al=3 - 3 AND su=< 0,class=ckd,0.085,1.0,1.5625
bgr=< 112 AND htn=1,class=ckd,0.085,1.0,1.5625
bp (Diastolic)=0 AND pc=1,class=ckd,0.085,1.0,1.5625
bp (Diastolic)=0 AND pe=1,class=ckd,0.085,1.0,1.5625
bp limit=0 AND pc=1,class=ckd,0.085,1.0,1.5625
bp limit=0 AND pe=1,class=ckd,0.085,1.0,1.5625
bp limit=2 AND htn=0,class=ckd,0.085,1.0,1.5625
bp limit=2 AND sg=1.015 - 1.017,class=ckd,0.085,1.0,1.5625
bu=48.1 - 86.2 AND pc=1,class=ckd,0.085,1.0,1.5625
cad=1 AND rbc=0,class=ckd,0.085,1.0,1.5625
dm=0 AND sg=1.015 - 1.017,class=ckd,0.085,1.0,1.5625
hemo=10 - 11.3 AND pcv=29.6 - 33.5,class=ckd,0.085,1.0,1.5625
hemo=8.7 - 10 AND htn=1,class=ckd,0.085,1.0,1.5625
hemo=8.7 - 10 AND pcc=0,class=ckd,0.085,1.0,1.5625
pc=1 AND sg=1.009 - 1.011,class=ckd,0.085,1.0,1.5625
pcv=29.6 - 33.5 AND pe=0,class=ckd,0.085,1.0,1.5625
rbcc=3.28 - 3.87 AND su=< 0,class=ckd,0.085,1.0,1.5625
bu=86.2 - 124.3,class=ckd,0.08,1.0,1.5625
age=59 - 66 AND sg=1.009 - 1.011,class=ckd,0.08,1.0,1.5625
al=1 - 1 AND rbc=0,class=ckd,0.08,1.0,1.5625
al=2 - 2 AND appet=0,class=ckd,0.08,1.0,1.5625
al=2 - 2 AND htn=1,class=ckd,0.08,1.0,1.5625
al=2 - 2 AND sc=< 3.65,class=ckd,0.08,1.0,1.5625
al=2 - 2 AND sod=133 - 138,class=ckd,0.08,1.0,1.5625
al=3 - 3 AND rbc=0,class=ckd,0.08,1.0,1.5625
ane=0 AND cad=1,class=ckd,0.08,1.0,1.5625
ane=0 AND pcc=1,class=ckd,0.08,1.0,1.5625
ane=0 AND rbc=1,class=ckd,0.08,1.0,1.5625
ane=1 AND sod=133 - 138,class=ckd,0.08,1.0,1.5625
appet=0 AND pcc=1,class=ckd,0.08,1.0,1.5625
appet=0 AND pcv=29.6 - 33.5,class=ckd,0.08,1.0,1.5625
appet=0 AND pcv=33.5 - 37.4,class=ckd,0.08,1.0,1.5625
appet=1 AND dm=0,class=ckd,0.08,1.0,1.5625
ba=0 AND pcv=25.7 - 29.6,class=ckd,0.08,1.0,1.5625
bgr=112 - 154 AND dm=1,class=ckd,0.08,1.0,1.5625
bp limit=2 AND bu=< 48.1,class=ckd,0.08,1.0,1.5625
bp limit=2 AND rbc=1,class=ckd,0.08,1.0,1.5625
bu=86.2 - 124.3 AND pot=< 7.31,class=ckd,0.08,1.0,1.5625
cad=0 AND pcv=29.6 - 33.5,class=ckd,0.08,1.0,1.5625
cad=0 AND rbcc=3.28 - 3.87,class=ckd,0.08,1.0,1.5625
cad=0 AND sc=3.65 - 6.8,class=ckd,0.08,1.0,1.5625
cad=1 AND dm=1,class=ckd,0.08,1.0,1.5625
dm=1 AND hemo=10 - 11.3,class=ckd,0.08,1.0,1.5625
dm=1 AND hemo=8.7 - 10,class=ckd,0.08,1.0,1.5625
dm=1 AND pcc=1,class=ckd,0.08,1.0,1.5625
hemo=10 - 11.3 AND sod=133 - 138,class=ckd,0.08,1.0,1.5625
hemo=11.3 - 12.6 AND sg=1.009 - 1.011,class=ckd,0.08,1.0,1.5625
htn=1 AND sod=138 - 143,class=ckd,0.08,1.0,1.5625
htn=1 AND wbcc=4980 - 7360,class=ckd,0.08,1.0,1.5625
pc=0 AND pe=1,class=ckd,0.08,1.0,1.5625
pc=1 AND rbc=1,class=ckd,0.08,1.0,1.5625
pcv=29.6 - 33.5 AND sc=< 3.65,class=ckd,0.08,1.0,1.5625
pe=1 AND sc=< 3.65,class=ckd,0.08,1.0,1.5625
pe=1 AND sod=133 - 138,class=ckd,0.08,1.0,1.5625
rbc=0 AND rbcc=3.28 - 3.87,class=ckd,0.08,1.0,1.5625
rbc=0 AND sc=3.65 - 6.8,class=ckd,0.08,1.0,1.5625
hemo=11.3 - 12.6 AND sod=133 - 138,class=ckd,0.125,0.9615384615384615,1.502403846153846
bp limit=0 AND hemo=11.3 - 12.6,class=ckd,0.12,0.96,1.5
bp (Diastolic)=0 AND hemo=11.3 - 12.6,class=ckd,0.11,0.9565217391304347,1.4945652173913042
rbcc=3.87 - 4.46,class=ckd,0.1,0.9523809523809524,1.4880952380952381
pot=< 7.31 AND rbcc=3.87 - 4.46,class=ckd,0.1,0.9523809523809524,1.4880952380952381
ba=0 AND rbcc=3.87 - 4.46,class=ckd,0.09,0.9473684210526315,1.4802631578947367
rbc=0 AND rbcc=3.87 - 4.46,class=ckd,0.085,0.9444444444444445,1.4756944444444446
hemo=11.3 - 12.6 AND rbcc=4.46 - 5.05,class=ckd,0.165,0.942857142857143,1.4732142857142858
age=59 - 66 AND bu=48.1 - 86.2,class=ckd,0.08,0.9411764705882353,1.4705882352941175
age=66 - 74 AND bp (Diastolic)=1,class=ckd,0.08,0.9411764705882353,1.4705882352941175
ane=0 AND rbcc=3.87 - 4.46,class=ckd,0.08,0.9411764705882353,1.4705882352941175
pe=0 AND rbcc=3.87 - 4.46,class=ckd,0.08,0.9411764705882353,1.4705882352941175
hemo=11.3 - 12.6 AND pcv=37.4 - 41.3,class=ckd,0.14,0.9333333333333335,1.4583333333333335
pcv=37.4 - 41.3 AND rbcc=4.46 - 5.05,class=ckd,0.19,0.926829268292683,1.4481707317073171
age=59 - 66 AND sod=133 - 138,class=ckd,0.125,0.9259259259259258,1.446759259259259
bp (Diastolic)=1 AND bu=48.1 - 86.2,class=ckd,0.125,0.9259259259259258,1.446759259259259
hemo=11.3 - 12.6,class=ckd,0.225,0.9183673469387755,1.4349489795918366
hemo=11.3 - 12.6 AND pot=< 7.31,class=ckd,0.22,0.9166666666666667,1.4322916666666667
cad=0 AND hemo=11.3 - 12.6,class=ckd,0.215,0.9148936170212766,1.4295212765957446
ane=0 AND hemo=11.3 - 12.6,class=ckd,0.21,0.9130434782608695,1.4266304347826086
ba=0 AND hemo=11.3 - 12.6,class=ckd,0.21,0.9130434782608695,1.4266304347826086
hemo=11.3 - 12.6 AND pcc=0,class=ckd,0.205,0.911111111111111,1.423611111111111
hemo=11.3 - 12.6 AND rbc=0,class=ckd,0.2,0.9090909090909092,1.4204545454545456
hemo=11.3 - 12.6 AND wbcc=7360 - 9740,class=ckd,0.14,0.903225806451613,1.4112903225806452
hemo=11.3 - 12.6 AND pe=0,class=ckd,0.18,0.8999999999999999,1.4062499999999998
hemo=11.3 - 12.6 AND sc=< 3.65,class=ckd,0.18,0.8999999999999999,1.4062499999999998
hemo=11.3 - 12.6 AND su=< 0,class=ckd,0.18,0.8999999999999999,1.4062499999999998
appet=0 AND hemo=11.3 - 12.6,class=ckd,0.17,0.8947368421052632,1.3980263157894737
hemo=11.3 - 12.6 AND pc=0,class=ckd,0.17,0.8947368421052632,1.3980263157894737
age=66 - 74 AND wbcc=7360 - 9740,class=ckd,0.085,0.8947368421052632,1.3980263157894737
